datapublished,name,description,provider,url,,,,
2019-03-23T23:13:00.0000000Z,The idea of <b>India</b>,"Harsh Mander’s Partitions of the Heart is a worthy intervention at a time when most public <b>protests</b> are being deemed ... Time and again, he describes each post-<b>riot</b> affected area as an erstwhile model of communal harmony. <b>India</b> of pre-2002 years might ...","[{'name': 'The Pioneer', 'image': {'thumbnail': {'contentUrl': 'https://www.bing.com/th?id=AR_db85e34b3de3b305924e09e49ebc4740&pid=news'}}, '_type': 'Organization'}]",https://www.dailypioneer.com/2019/sunday-edition/the-idea-of-india.html,,,,
2019-03-15T15:52:00.0000000Z,Forget Cricket Diplomacy. The Game Is a Casualty of <b>India</b>-Pakistan Tensions,"Second, the case of 1968 Black Power salute, arguably the most powerful instance of <b>political</b> messaging in sports, still foments polarizing opinions. The <b>India</b>-Pakistan cricket rivalry ...","[{'name': 'The Diplomat', 'image': {'thumbnail': {'contentUrl': 'https://www.bing.com/th?id=AR_0f565821e055d20cc8588537f20543a9&pid=news'}}, '_type': 'Organization'}]",https://thediplomat.com/2019/03/forget-cricket-diplomacy-the-game-is-a-casualty-of-india-pakistan-tensions/,,,,
2019-03-08T09:57:00.0000000Z,"<b>In India</b>, a search for ‘traitors’ after conflict with Pakistan","Modi leads a Hindu nationalist <b>political</b> party, and since his election in 2014, hard-line Hindu groups have become more assertive, sometimes resorting to violence. In recent weeks, some of those publicly critical of the government or <b>India</b>’s military ...","[{'name': 'The Washington Post', 'image': {'thumbnail': {'contentUrl': 'https://www.bing.com/th?id=AR_04bc0c1c424cf64dec14a2982f0360ef&pid=news'}}, '_type': 'Organization'}]",https://www.washingtonpost.com/world/asia_pacific/in-india-a-search-for-traitors-after-conflict-with-pakistan/2019/03/08/b8fd98bc-416d-11e9-a44b-42f4df262a4c_story.html,,,,
2019-03-12T04:59:00.0000000Z,<b>Protests</b> as Indian government toughens stand in Kashmir,"<b>Protests</b> have broken ... said the move is <b>political</b> to galvanize the Hindu vote ahead of general elections in April-May. A tough stand against Muslims will help the Bharatiya Janata Party (BJP) win Hindu votes across <b>India</b>, he said. He questioned why ...","[{'name': 'UCA News', 'image': {'thumbnail': {'contentUrl': 'https://www.bing.com/th?id=AR_6f11e3302a9ea1b8bf27adadf30d3c0b&pid=news'}}, '_type': 'Organization'}]",https://www.ucanews.com/news/protests-as-indian-government-toughens-stand-in-kashmir/84708,,,,
2019-03-06T00:12:00.0000000Z,"With Trump silent, no &#39;sheriff&#39; in town on Pakistan-<b>India</b> crisis, ex-diplomats say","Activists of Pakistani Peoples Party (PPP) burn an effigy of Indian Prime Minister Narendra Modi during an anti-Indian <b>protest</b> ... between <b>India</b> and Pakistan over Kashmir. Former Defense Secretary James Mattis, well-versed in the history and <b>politics</b> ...","[{'name': 'NBC News', 'image': {'thumbnail': {'contentUrl': 'https://www.bing.com/th?id=AR_e4bde9ad3949725c2f4ad268ff549295&pid=news'}}, '_type': 'Organization'}]",https://www.nbcnews.com/news/world/trump-silent-no-sheriff-town-pakistan-india-crisis-ex-diplomats-n979406,,,,
2019-03-14T02:46:00.0000000Z,The Standoff In Kashmir: <b>India</b> And Pakistan Are On The Brink Again – Analysis,"<b>India</b>’s Air Force bombed a training camp ... to 2002 when he made no effort to stop the ethnoreligious <b>riots</b> in Gujarat, which resulted in the deaths of hundreds, as well as his own <b>political</b> rise to power. Even so in the military standoff with Pakistan ...","[{'name': 'Eurasia Review', 'image': {'thumbnail': {'contentUrl': 'https://www.bing.com/th?id=AR_73cb255301069db5e580b00bd13ea342&pid=news'}}, '_type': 'Organization'}]",http://www.eurasiareview.com/14032019-the-standoff-in-kashmir-india-and-pakistan-are-on-the-brink-again-analysis/,,,,
2019-03-16T00:57:00.0000000Z,Millions of Farmers Could Turn the Tide Against <b>India</b>’s Right-Wing Regime,"As <b>India</b> ... is a <b>political</b> cost to ignoring rural <b>India</b>. <b>India</b>’s Agrarian Crisis: Debt, Suicide and Government Neglect Over the past several months, millions of subsistence farmers, many with less than five acres of land, have staged <b>protests</b> demanding ...","[{'name': 'Truthdig', 'image': {'thumbnail': {'contentUrl': 'https://www.bing.com/th?id=AR_8006c4e253e9073f9a2a9cb311c19392&pid=news'}}, '_type': 'Organization'}]",https://www.truthdig.com/articles/millions-of-farmers-could-turn-the-tide-against-indias-right-wing-regime/,,,,
2019-03-21T01:14:00.0000000Z,Modi&#39;s clearance in the Gujarat <b>riots</b> case angers Indian Muslims,"A special panel of the Indian Supreme Court probing the deadly 2002 Gujarat <b>riots</b> says there is no evidence that ... &quot;Modi is one of the most polarizing <b>political</b> figures <b>in India</b>,&quot; said <b>political</b> commentator Zafar Agha. &quot;To his supporters he comes across ...","[{'name': 'dw.com', 'image': {'thumbnail': {'contentUrl': 'https://www.bing.com/th?id=AR_8fd6e15229cd71a98178a59bdf85a7fa&pid=news'}}, '_type': 'Organization'}]",https://www.dw.com/en/modis-clearance-in-the-gujarat-riots-case-angers-indian-muslims/a-15874606,,,,
2019-03-11T08:47:00.0000000Z,<b>India</b>’s 2019 elections: What you need to know,"While over 450 <b>political</b> parties contested the last ... a group that seeks to make <b>India</b> a “Hindu nation.” In 2002, when he was chief minister of Gujarat, <b>riots</b> broke out that left more than 1,000 people, mostly Muslims, dead. Modi pioneered what ...","[{'name': 'The Washington Post', 'image': {'thumbnail': {'contentUrl': 'https://www.bing.com/th?id=AR_04bc0c1c424cf64dec14a2982f0360ef&pid=news'}}, '_type': 'Organization'}]",https://www.washingtonpost.com/world/2019/03/11/indias-elections-what-you-need-know/,,,,
2019-02-24T19:56:00.0000000Z,"5 dead in Kashmir, shops stage boycott of crackdown by <b>India</b>","SRINAGAR, <b>India</b> (AP) — Three rebels ... and enforced a security lockdown in its downtown area in anticipation of <b>protests</b> and clashes. Carrying automatic rifles and wearing <b>riot</b> gear, soldiers and police erected iron barricades and laid razor wire ...","[{'name': 'philly.com', 'image': {'thumbnail': {'contentUrl': 'https://www.bing.com/th?id=AR_5c6df0a086d9a83a70e83adc02ad87ed&pid=news'}}, '_type': 'Organization'}]",https://www.philly.com/news/nation-world/india-pakistan-kashmir-crackdown-activists-protest-20190224.html,,,,
2019-03-15T10:07:00.0000000Z,Pakistan standoff helps <b>India</b>’s Modi shift focus from jobs,"After a suicide bombing killed 40 soldiers in Indian-controlled Kashmir, <b>India</b>’s air force launched ... even though violence and massive <b>protests</b> continue to rock Indian-controlled Kashmir ...","[{'name': 'MyNorthwest.com', 'image': {'thumbnail': {'contentUrl': 'https://www.bing.com/th?id=AR_79c2df1fdf2647424c3537976e957f75&pid=news'}}, '_type': 'Organization'}]",http://mynorthwest.com/1306899/pakistan-standoff-helps-indias-modi-shift-focus-from-jobs/,,,,
2019-02-24T08:39:00.0000000Z,"5 dead in Kashmir, shops stage boycott of crackdown by <b>India</b>","SRINAGAR, <b>India</b> — Three rebels ... and enforced a security lockdown in its downtown area in anticipation of <b>protests</b> and clashes. Carrying automatic rifles and wearing <b>riot</b> gear, soldiers and police erected iron barricades and laid razor wire on roads ...","[{'name': 'Star Tribune', 'image': {'thumbnail': {'contentUrl': 'https://www.bing.com/th?id=AR_3e5cdc2dd3b73c267ad7838519d5288c&pid=news'}}, '_type': 'Organization'}]",http://www.startribune.com/kashmir-shuts-to-protest-indian-crackdown-against-activists/506287452/,,,,
2019-03-19T02:05:00.0000000Z,Opinion: Rape becomes a <b>political</b> tool <b>in India</b>,"But sadly <b>in India</b>, a rape also becomes a <b>political</b> issue, with the dynamics of religion ... Hindu Ekta Manch have come out in support of the suspected rapists and held <b>protests</b> in the state. DW&#39;s Isha Bhatia It is also suggested that a couple of ministers ...","[{'name': 'dw.com', 'image': {'thumbnail': {'contentUrl': 'https://www.bing.com/th?id=AR_8fd6e15229cd71a98178a59bdf85a7fa&pid=news'}}, '_type': 'Organization'}]",https://www.dw.com/en/opinion-rape-becomes-a-political-tool-in-india/a-43377090,,,,
2019-03-22T17:28:00.0000000Z,<b>India</b> elections 2019: Journalists safety kit,"Clothing may need to be washed several times to remove the crystals completely or even discarded. <b>Protesters</b> have previously assaulted journalists <b>in India</b>. When dealing with aggression, consider the following: Journalists are frequently required to report ...","[{'name': 'Cpj.org', 'image': {'thumbnail': {'contentUrl': 'https://www.bing.com/th?id=AR_79cde349936f9b30c16f4d6ecdeaebe7&pid=news'}}, '_type': 'Organization'}]",https://cpj.org/2019/03/india-elections-journalists-safety-kit.php,,,,
